ru_toxic_comment	ru_neutral_comment
уроды арабские , вы лучше в лч что-нибудь покажите .	Люди  арабские , вы лучше в личку что-нибудь покажите
одни жопалезы хвалят ,чтобы получить наглы и кресло не терять а народ голодает ничего?	одни ужасные люди хвалят, чтобы кресло не терять, а народ голодает,ничего?
У нас в части некоторые офицеры и срочники такие же ходили. Метаном кололись, дебилы.	У нас в части некоторые офицеры и срочники такие же ходили. Метаном кололись.
два кислых друга хуй да уксус	Два кислых друга
пидарасы хахлятские !!! завалите своёю ебасосину !!!	Украинцы молчите
тварь гитлера на них нет	Гитлера на них нет
о боже!отвалить пиздюль!это мы можем!	О боже !отвалить тумаков !это мы можем!
ты тут уже за 2 года ебнулась в конец,дура старая	Ну ты тут умом тронулась за 2 года совсем.
лишать прав пажизненно но для начала на нары пидарасов	лишать прав пожизненно но для начала на нары
откуда у тварей ордена, что за то что жопу лизали	Откуда ордена,за то что пытались угодить
себе то веришь , трепло	себе то веришь?
да их всех блядей имеющих личных водителей,нужно так. эти суки кем себя возомнили,уроды.	Да их всех людей, имеющих личных водителей нужно так. Кем они себя возомнили
чмо ёбаное подумай как тебя за измену родины будет народ судить козёл	подумай как тебя за измену родины будет народ судить
чмо ёбаное подумай как тебя за измену родины будет народ судить козёл	Подумай, как тебя народ будет судить за измену Родине.
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина	Что вы придираетесь к Бузовой? Нормальная женщина. Вы посмотрите кругом, цирк. Пусть поёт, приятная женщина
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина	​что вы люди пристали к бузовой - нормальная женщина, вы посмотрите вокруг - кругом цирк, пусть поет - приятная женщина
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина	​что вы люди -прицепились к бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина
вот же удод ,кто это сделал.😡	Плохой человек, кто это сделал.
вот же удод ,кто это сделал.😡	вот же нехороший, кто это сделал.😡
суки опять какую то хуйню спустили в реку уебки	Опять что-то в реку спустили
суки опять какую то хуйню спустили в реку уебки	Опять что то спустили в реку
вот это страна...ебан ...тся можно.	вот это страна...с ума сойти можно
Галкин враг народа пидор выгораживает хабадника Соловьева.	Галкин выгораживает Соловьева
​денюжки высосали и все адъю,видел таких пидаразов	денюжки взяли и все адью,видел таких людей
ты что, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..	Вопрос задай правильно. Непонятно, к какому комменту твой вопрос
ты что, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..	вопрос задавай правильно.. Непонятно, к какому комменту твой вопрос.
Забей, нормально писал, здесь не институт благородных девиц. Вообщем молодец, жги нас глаголом	Не переживай, нормально писал, здесь не институт благородных девиц. Вообщем молодец, жги нас глаголом
и нахуя этого пидора выложили	зачем этого человека выложили
и нахуя этого пидора выложили	И зачем его выложили
и нахуя этого пидора выложили	Для чего этого человека выложили
от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.	от деревень и колхозов вся страна ела и пила натуральные продукты, все развалили.
от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.	От деревень и колхозов вся страна ела и пила натуральные продукты, все развалили
от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.	От деревень и колхозов вся страна ела и пила натуральные продукты, всё развалили
в вашей жалости не нуждаюсь ...себя пожалей ,дура !	Откажусь от вашей жалости,позаботьтесь о себе
в вашей жалости не нуждаюсь ...себя пожалей ,дура !	В вашей жалости не нуждаюсь ...себя пожалей , девушка !
в вашей жалости не нуждаюсь ...себя пожалей ,дура !	В вашей жалости не нуждаюсь! Жалейте себя!
Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.	Эта картинка старше тебя, дорогой. Будущее больно отдаленное выходит.
Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.	Эта картинка старше тебя. Будущее больно отдалённое выходит.
что за педик в судейской коллегии???	кто в судейской коллегии???
что за педик в судейской коллегии???	Что за человек в судейской коллегий?
что за педик в судейской коллегии???	Что за человек в судейской коллегии?
долбоеб!!! сейчас даже чирий бесплатно не выскакивает.	Сейчас даже чирий бесплатно не выскакивает.
долбоеб!!! сейчас даже чирий бесплатно не выскакивает.	сейчас даже бесплатно чирий не выскакивает
ты другого не заслуживаешь опущенный в говно засранец 😜	Ты другого заслуживаешь
чьмо ебаная ты спортом когда нибудь занемался	ты спортом когда нибудь занимался
чьмо ебаная ты спортом когда нибудь занемался	ты спортом когда нибудь занимался
чьмо ебаная ты спортом когда нибудь занемался	Ты спортом когда нибудь занимался?
заебался ставить нет не чо не какой прибавки	замучился ставить нет ничего ни какой прибавки
заебался ставить нет не чо не какой прибавки	Заколебался ставить нет не чо не какой прибавки
Батя -- хохол, мать -- русская.	Батя -- украинец, мать -- русская.
Батя -- хохол, мать -- русская.	отец - украинец, мать - русская.
второй пидарас ещё живой . делайте выводы	второй ещё живой . делайте выводы
второй пидарас ещё живой . делайте выводы	Второй нехороший человек ещё живой. Делайте выводы
как можно было такую уродку выдвигать в депутаты ?	как можно было такую девушку выдвигать в депутаты ?
Назад народ! Это уже не тот чубака!	Назад народ! Это уже не тот человек!
у меня предыдущий говно висит на карту не качает	У меня предыдущий висит на карту не качает
у меня предыдущий говно висит на карту не качает	у меня предыдущий висит на карту не качает
у меня предыдущий говно висит на карту не качает	у меня предыдущий висит на карту не качает
кто-то запускает ракеты этим он вертит на хую роскосмос слышите Ебать вас промывают, пиздец просто.	Кто-то запускает ракеты, этим он обманывает Роскосмос, слышите, вас обманывают!
уроды, вам бы только деньги	вам бы только деньги
уроды, вам бы только деньги	, вам бы только деньги
уроды, вам бы только деньги	Вам бы только деньги
да что ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!	И что ты пристал в этим клумбам? Людям есть нечего, добывают пропитание!
да что ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!	Да что ты пристала к этим клумбам? Людям кушать нечего! По мусоркам лазают!
каждый год, найдётся пьяный дебил, который даже праздник достойно отметить не может🤷‍♂️	Каждый год найдется пьяный,который даже праздник достойно отметить не может
вы что там все стали долбаёбами после маидана англасакскова.	вы что там с ума сошли после маидана англасакскова?
ты администрация сайта убери всех блядей и порнуху на моей странице, заебали	Прошу администрацию сайта убрать с моей страницы нежелательных персонажей и рекламу
ты администрация сайта убери всех блядей и порнуху на моей странице, заебали	ты администрация сайта убери всех проституток и порнуху на моей странице, достали
ты администрация сайта убери всех блядей и порнуху на моей странице, заебали	попрошу администрацию убрать с моей страницы порно и женщин в обнаженном виде, надоело
вот пидорасик нашёл время выйти	Нашёл время выйти
вот пидорасик нашёл время выйти	Нашёл время выйти..
сама овца или в задницу твое мнение никто не спрашивает дура	Ваше мнение никому не интересно
сама овца или в задницу твое мнение никто не спрашивает дура	вашего мнения никто не спрашивает
Судя по игнору , я попал в цель. Ну, мало ли вас, убогих.	Судя по игнору , я попал в цель. Ну, мало ли вас таких
зараза,всё таки наверное убила его.	всё-таки, наверное, убила его.
это белорусы походу хуевертят .рожы похожи очень	Это белорусы, похоже, мутят. На лицо похожи очень
А в расеюшке- скотоублюдушке как с продуктами?	Как в России с продуктами?
во ебанашка ладно сама травму получишь но дети...походу ребёнку немало досталось сотрясение точно	ладно сама травму получишь но дети... походу ребёнку немало досталось сотрясение точно
во ебанашка ладно сама травму получишь но дети...походу ребёнку немало досталось сотрясение точно	ладно сама травму получишь но дети...походу ребёнку немало досталось сотрясение точно
во ебанашка ладно сама травму получишь но дети...походу ребёнку немало досталось сотрясение точно	Ладно сама травму получишь, но дети, видимо ребенку немало досталось, сотрясение точно
в краснодаре все фонтаны выключили. наш анальный губернатор не хочет никаких инцидентов	в краснодаре все фонтаны выключили. наш губернатор не хочет никаких инцидентов
в краснодаре все фонтаны выключили. наш анальный губернатор не хочет никаких инцидентов	В Краснодаре фантаны отключили поскольку губернатор не хочет инцидентов
сука а сам то 10 классов заканчивал, мудак недоразвитый.	А ты сам то 10 классов заканчивал?
сука а сам то 10 классов заканчивал, мудак недоразвитый.	А сам то 10 классов заканчивал
21 век, как ты такой неграмотный?	21
вол только тебя здесь блядь и не хватало, припиздышь!	Вот только здесь вас не хватало, человек!
🔴⚪️нельзя злить они и убить могут вперёд спартак!!!	Нельзя из злить. Вперёд Спартак
какая разница,везде люди есть..не все же суки.	Какая разница, везде люди есть.. не все же плохие
Я всё жду, когда эта херня закончится	Я всё жду, когда это закончится
Я всё жду, когда эта херня закончится	я всё жду, когда это закончится
Я всё жду, когда эта херня закончится	Я все жду, когда этот бред закончится
вериш что этот пиздун говорит.	Ты веришь этому человеку?
вериш что этот пиздун говорит.	Веришь что он говорит
кому не нравится россия -----дорога открыта......бегите ,не споткнитесь об гейпидров эвропы....бегите ,....только потом назад будете ползти.....	Кому не нравится Россия дорога открыта,бегите не оглядываясь, только назад вернётесь.
чмошные работадатели, непо зорьте, пидоры,. москву!	Работодатели, не позорьте, Москву!
две березы и разорвать попалам,сука.	две березы и разорвать попалам
достали уже попрошайки классов сколько же тут фотошопщиков...дебилы	Устала от попрошаек классов, сколько же тут фотошопщиков
достали уже попрошайки классов сколько же тут фотошопщиков...дебилы	Надоели уже попрашайки классов сколько же тут фотошопщиков
Давай Васю Ложкина штрафовать, а то хули он воду мутит, педофил стопудово	Почему не штрафуют Васю Ложкина? Он подозрителен
в сша порядка меньше чем в россии? если вы это будете утверждать, то даже ватные дебилы не все вам поверят.	В сша порядка меньше чем в России? если вы это будете утверждать, то даже люди не все вам поверят
в сша порядка меньше чем в россии? если вы это будете утверждать, то даже ватные дебилы не все вам поверят.	в сша порядка меньше чем в россии? если вы это будете утверждать, то даже самые глупые люди не все вам поверят.
в сша порядка меньше чем в россии? если вы это будете утверждать, то даже ватные дебилы не все вам поверят.	В США порядка меньше чем в России? Если вы это будете утверждать, то никто вам не поверит
какое уебанное еблищек у этой шлюхи. видимо гнилая душа отпечаталась на этом еблище.	Она видимо плохой человек.
как написать агутину, что он пидор, и не поддержал, реальный, белорусский народ. он больше для нас не существует	Как написать Агутину что он не поддержал реальные белорусский народ
как написать агутину, что он пидор, и не поддержал, реальный, белорусский народ. он больше для нас не существует	Агутин не поддержал белорусский народ, поэтому им больше не интересуются.
Пятачок, это какая-то не правильная сова	Это какая-то неправильная сова
текслер красава,во истенну единорос,пиздит как дышит.	текслер красава,во истенну единорос,
Валентин ты опять таблетки не выпил	Валентин ты опять таблетки не выпил
ну чего интересно где это уебище? уже неделю молчат ,поймали или нет?	ну чего интересно где он? уже неделю молчат, поймали или нет?
пиздец как же я ненавижу женщин	Не люблю женщин
мамашка е-------а. нехер врачам указывать , что и как делать. хочет выеб---ся, пысть к платникам обращается.	Мама, нечего врачам указывать, что и как делать. Хочет повыделываться, пусть к платникам обращается.
мамашка е-------а. нехер врачам указывать , что и как делать. хочет выеб---ся, пысть к платникам обращается.	мамашка слишком умная. нечего врачам указывать, что и как делать. хочет показать себя, пусть к платникам обращается.
мрази , их самих надо на цепь посадить без пищи и воды 😈	их самих надо посадить без пищи и воды
бывает а что дед долбаеб психопат респект пацану что остоновился 👍👍 не убежал как некоторие	Бывает а что дед психбольной,респект пацану,что остановился ,не убежал,как некоторые
молодец парень. такое гавно только так воспитывать	молодец парень. нужно только так воспитывать
молодец парень. такое гавно только так воспитывать	Молодец парень, их только так воспитывать
а тебе нравятся такие мальчики, пидарасня?	а тебе нравятся такие мальчики?
а тебе нравятся такие мальчики, пидарасня?	а тебе нравятся такие мальчики?
Так а почему ты тогда блеешь тут, скотогноеублюдомаспосвинопидораха?	Так а почему ты тогда пишешь тут?
пиздо...цы!! не засирайте ленту .	Не загрязняйте ленту
пиздо...цы!! не засирайте ленту .	Не захламляйте ленту
Какая медицина, пидоран? Че несешь вообще?	Какая медицина ? Что вы говорите ?
Какая медицина, пидоран? Че несешь вообще?	Какая медицина? Че говоришь вообще?
Какая медицина, пидоран? Че несешь вообще?	Какая медицина, что ты говоришь?
если кадыров был бы призидентом, охуевших олигархов небыло бы. человек уважаемый.	если кадыров был бы призидентом, олигархов небыло бы. человек уважаемый
если кадыров был бы призидентом, охуевших олигархов небыло бы. человек уважаемый.	Если Кадыров был бы президентом, олигархов не было бы. Уважаемый человек
если кадыров был бы призидентом, охуевших олигархов небыло бы. человек уважаемый.	если кадыров был бы призидентом, олигархов небыло бы. человек уважаемый.
какой пидрило вспомнил о россии,а то что целый год обсирал россию,его велиечество председатель колхоза запамятовал.	Он вспомнил о России, а то, что целый год оскорблял Россию, его величество председатель колхоза запамятовал.
её убивать везли ( на бойню ) и это у неё шок . я так думаю .	Её везли на бойню и это у неё шок . Я так думаю
ты пидорас старый не истери	Не истери
ты пидорас старый не истери	Ведите себя сдержанно!
ты пидорас старый не истери	ты не истери
мог, хотя бы, пару дощечек положить....... падла.	Мог, хотя бы, пару дощечек положить
мог, хотя бы, пару дощечек положить....... падла.	Мог, хотя бы, пару дощечек положить
мог, хотя бы, пару дощечек положить....... падла.	мог, хотя бы, пару дощечек положить.......
да где блять ваши зараженные??????????????????????????????????????????????	Где заражённые?
да где блять ваши зараженные??????????????????????????????????????????????	И где же все ваши заражённые????
да где блять ваши зараженные??????????????????????????????????????????????	да где  ваши зараженные?????????????????????????????????????????????
да козёл, живодер сволочь поганая, как можно такое выставлять на показ.	Не нужно такое выставлять на публику
придурки когда же вы уйметесь????	Когда же вы уйметесь?
придурки когда же вы уйметесь????	когда же вы уйметесь????
авторы дуры ебаные! вам самим то не стыдно на героях лайки попрашайничать!? пидерасты тупые!	Авторы, вам самим не стыдно на героях лайки попрошайничать?
слушай автор завязывай с этой хуйней играть на чувствах доверчивых, с тонкой организацией души! чучело ты гнилое	слушай автор не надо с этим играть на чувствах доверчивых, с тонкой организацией души!
Ну вы подыграйте что-ли ей, несчастная баба всю себя посвятила дочери	Ну вы подыграйте что-ли ей, несчастная женщина всю себя посвятила дочери
Ну вы подыграйте что-ли ей, несчастная баба всю себя посвятила дочери	Ну вы подыграйте что-ли ей , несчастная женщина  всю себя посвятила дочери
для инвалида слишком уж жопа толстая и ножки здоровых блядей	Для инвалида слишком хорошо выглядит
во. как. все. можно. козлам. можно. и. ещё. денег. за. ни. за. что. платят	во. как. все. можно. можно. и. ещё. денег. за. ни. за. что. платят
во. как. все. можно. козлам. можно. и. ещё. денег. за. ни. за. что. платят	Во как все можно ещё и денег за ни за что платят
сука прикоритная иза токих как ты тварь всё присходит	Из-за таких как ты всё происходит
Уточнил просто. Людей меньше 25 лвл считаю пробником человека. Но самоутверждением здесь не пахнет.	Уточнил просто. Людей меньше 25 лвл считаю маленькими. Но самоутверждением здесь не пахнет.
а в чем проблема дать в попу?	А в чем проблема заняться анальным сексом?
надо бить крапивой по голым задницам - будет наказание и урок на будущее !	раньше использовали крапиву в воспитательных целях - будет наказание и урок на будущее !
а если ещё и ваш зад пристроиться? выдержишь?	а если ещё и вашу заднюю часть тела пристроиться? выдержишь?
А чему сострадать? Шлюха получила по заслугам и заебись.	А чему сострадать? Она получила по заслугам и прекрасно
А чему сострадать? Шлюха получила по заслугам и заебись.	чему сострадать?получила по заслугам
эту блять возвращать не надо.	Ее не надо возвращать
У меня так псина на прогулке скачет, осталось только надеть маску лошади и вуаля вместо корги фалабела	У меня так собака на прогулке скачет, осталось только надеть маску лошади и вуаля, вместо корги фалабелла.
ну этот высказался не иначе жополиз путинский и живет не на 20 тыс. в месяц	ну, это высказался сторонник путина, и живет он не на 20 тыс. в месяц.
ну этот высказался не иначе жополиз путинский и живет не на 20 тыс. в месяц	Ну это высказался сторонник Путина. И живет не на 20 тысяч в месяц.
какой нахер козырь? он сволочь убил человека....и как последний трус скрывается за очками и маской.....совести- ноль!	Какой козырь?Он убил человека...и как последний трус скрывается за очками и маской...совести ноль!
тебе, мурманчанка, нравится, что вас называют мерзкими москалями? у меня просто нет слов.	тебе, мурманчанка, нравится, что вас называют москалями? у меня просто нет слов
придёт сша и пиздец будет как в украине.	Придёт США и будет плохо, как в Украине.
потому что русским следует поучиться у дагов чеченцев стоять друг за друга	Потому что русским следует поучиться у дагестанцев и чеченцев стоять друг за друга
потому что русским следует поучиться у дагов чеченцев стоять друг за друга	Потому что русским следует поучиться стоять друг за друга
дебил ты,,, на ключь посмотри,,	Ты,,, на ключь посмотри
дебил ты,,, на ключь посмотри,,	Ты на ключ посмотри
у этого подонка прав не было	У него не было прав
у этого подонка прав не было	У этого человека прав не было
у этого подонка прав не было	у этого человека прав не было
пусть у себя наведёт коммунизм....а потом к нам лезет ...сука	Пусть у себя наведёт коммунизм,а потом к нам лезет
пусть у себя наведёт коммунизм....а потом к нам лезет ...сука	пусть у себя наведёт коммунизм....а потом к нам лезет
брат, ты просто не понял прикол. смысл в том что все политики пиздаболы!	Брат, ты просто не понял прикол. смысл в том что все политики вруны
брат, ты просто не понял прикол. смысл в том что все политики пиздаболы!	Брат, !ты просто не понял прикол. Смысл в том, что все политики врут
Я пока свой колхоз-кокпит собрал задолбался)	Я пока свой колхоз-кокпит собрал - запарился)
какая же он мразь и сволочь	Какой же он нехороший человек
какая же он мразь и сволочь	Какой же он плохой человек
Политика это вообще один большой фейспалм, стадо пидоров, наебывающих друг друга.	Политика - это вообще один большой фейспалм, там все друг друга обманывают
Политика это вообще один большой фейспалм, стадо пидоров, наебывающих друг друга.	Политика это вообще один большой фейспалм, много людей, обманывающих друг друга.
ВНИМАНИЕ! 10 ЛЕТ ПРОТЕСТА АНАЛЬНОГО 10 ЛЕТ БЛЯДЬ БОРЬБЫ УУУУХХХХ НУ СЕГОДНЯ ТО ТОЧНО РИВАЛЮЦИЯ ПОЛЮЦИЯ, ДАВАЙТЕ КРЕСТЬЯНГИ ПОДДАТЬ ДОННАТОВ!	ВНИМАНИЕ! 10 ЛЕТ ПРОТЕСТА  10 ЛЕТ БОРЬБЫ УУУУХХХХ НУ СЕГОДНЯ ТО ТОЧНО РИВАЛЮЦИЯ ПОЛЮЦИЯ, ДАВАЙТЕ КРЕСТЬЯНГИ ПОДДАТЬ ДОННАТОВ!
Зачем тут эта хуета про кастрюли?	Зачем тут эта ерунда про кастрюли
Зачем тут эта хуета про кастрюли?	зачем тут эта информация про кастрюли?
Зачем тут эта хуета про кастрюли?	Зачем тут эта ерунда про кастрюли?
путин слишком добрый президент ! сталина на вас пидор - в.. надо ...!!	путин слишком добрый президент ! сталина на вас надо ...
да твари уже не знают что делать	они  уже не знают что делать
да твари уже не знают что делать	Да эти люди уже не знают что делать
да твари уже не знают что делать	Да уже не знают что делать
Ваше мнение - ваше мнение. Забейте его себе куда хотите.	Ваше мнение- это ваше мнение. Оставьте его при себе
продажная проститутка!!!а как же слова: я никогда не надену футболку ебучего спартака???????^o)	А как же слова: я не надену футболку Спартака
продажная проститутка!!!а как же слова: я никогда не надену футболку ебучего спартака???????^o)	За деньги он согласился надеть футболку Спартака
Нахуй ты высрался тогда тут? МНЕ НИНРАВИЦА ЯСКОЗАЛ ХРЯ	Зачем ты появился тогда тут. Мне не нравится сказал я
сучво ебливое, тут вам не интернет тёрне ! я такой танец маленьких лебедей могу устроить--- застыдытесь!	тут вам не интернет тёрне ! я такой танец маленьких лебедей могу устроить--- застыдытесь!
да уже давно этому гандону не кто не доверяет. как услышу его голос блевать хочется	Да уже давно этому плохому человеку никто не доверяет, как слышу его голос сразу противно становится
да уже давно этому гандону не кто не доверяет. как услышу его голос блевать хочется	Да уже давно ему не кто не доверяет. Не хочу слышать и его голос
только этих придурков ещё не хватает!	Только этих ещё не хватает.
бойтесь твари натовские наших тельников, увидите и бойтесь очень сильно, всегда так было и будет	Остерегайтесь нашей армии
фу блять чё за чёрт	Жуть, кто это?
лучше б руководство выкинули бы на хрен!!!!	Лучше бы руководство убрали
лучше б руководство выкинули бы на хрен!!!!	Лучше б руководство поменяли бы!!!
бля пацаны дико извиняюсь, вкладки с тредами перепутал.	Пацаны, дико извиняюсь, вкладки с тредами перепутал.
бля пацаны дико извиняюсь, вкладки с тредами перепутал.	пацаны дико извиняюсь, вкладки с тредами перепутал.
бля пацаны дико извиняюсь, вкладки с тредами перепутал.	пацаны дико извиняюсь, вкладки с тредами перепутал
Он стал популярным только после того, как его дебил-друже взял под крыло.	Он стал популярным только после того, как его друг взял под крыло
ебаный оленевод ----ряженый ....,ни дня сапога не знал ...	Этот человек не служил в армии.
ебаный оленевод ----ряженый ....,ни дня сапога не знал ...	Ни дня сапога не знал
ублюдок! мишка!---ты конченный алкаш и трусливая скотина!!!! и нет тебе прощения!!!..............	мишка нет тебе прощения
да, ещё и деньги отваливать за учёбу. что за идиотина это придумала?	Да, ещё и деньги платит за учебу, кто это придумал?
да, ещё и деньги отваливать за учёбу. что за идиотина это придумала?	да, ещё и деньги отваливать за учёбу. что за человек это придумал?
да, ещё и деньги отваливать за учёбу. что за идиотина это придумала?	да, ещё и деньги отваливать за учёбу. Кто это придумал?
СЛЫШ ты лох ахуел совсем такое писать мразь?	Зачем такое писать ?
такая точно затрахает 😂😂😂😂 не повезло мужика ! :d	не повезло мужчине с женой
такая точно затрахает 😂😂😂😂 не повезло мужика ! :d	Такая точно замучает, не повезло мужику!
нужно иногда за сиськи дергать.......:d :d :d :d	Нужно иногда за грудь  дергать
надо запретить херней заниматься вдв но и чо долбаебы	надо запретить вдв заниматься ерундой
лось. умный человек всегда работает. а писдабол в инете срет. изыди.	Умный человек работает, а бездельник в интернете пишет плохие вещи.
ты то ,сосок бандеровский,родился то когда ?????? что ты знаешь то о союзе??????	ты то, родился то когда ?????? что ты знаешь то о союзе??????
ты то ,сосок бандеровский,родился то когда ?????? что ты знаешь то о союзе??????	Ты то, родился то когда?????? Что ты знаешь то о союзе??????
бляди . пройдет 10 20лет сидя на скамейке они скажут о таких как они блядь и есть блядь	Пройдет 10,20 лет сидя на скамейке они скажут о таких какие были такие и есть
почему то пидарас кулаков антон гиркин опущенный всегда перекладывает свою жопу рванную на других ok.ru/profile/580913166767/album/879967425455/901438399407	Почему то кулаков Антон гиркин всегда перекладывает свои проблемы на других
ублюдок! закон бумеранга еще никто не отменял!!	Закон бумеранга ещё никто не отменял
ублюдок! закон бумеранга еще никто не отменял!!	закон бумеранга еще никто не отменял!
мразь!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! и это тот, из тех, кому пытались подражать????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!! мразь!!!!!!!!!!!!!!!!!!!!!!!!!!!! и.....просто прах своего знаменитого отца!!!!!!!!!!!	это тот, из тех, кому пытались подражать????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!! и.....просто прах своего знаменитого отца!!!!!!!!!!!
народ сам посадил эту сволочь на шею.сам и сбросит.хорошо хоть смертная казнь отменена.	народ сам посадил на шею.сам и сбросит.хорошо хоть смертная казнь отменена.
хуй тебе на рыло, а не донбасс, губу закатай долбоеб!!!	донбасс ты не получишь
спасибо ,я уже домой погнал -в шкафу насрал ,черепаху выебал....	Спасибо, я уже домой пошёл - в шкафу беспорядок навела , черепаху отругал
